Stock,Entry_Date,Price_3Mo_Ago,Price_Today,Strategy_Return_%,Above_50SMA_At_Entry
UNITEDPOLY,2026-04-08,28.37,32.22,13.57,YES
ZENTEC,2026-04-10,1541.4,1746.7,13.32,YES
REPCOHOME,2026-04-10,382.45,433.35,13.31,YES
ASAL,2026-04-10,456.35,516.85,13.26,YES
MAZDA,2026-04-10,202.82,229.49,13.15,YES
SUBROS,2026-04-10,750.3,848.1,13.03,YES
JSWENERGY,2026-04-10,487.19,550.2,12.93,YES
ELGIEQUIP,2026-04-10,512.8,578.55,12.82,YES
GTLINFRA,2026-04-10,1.2,1.35,12.5,YES
CYBERTECH,2026-04-08,129.19,145.22,12.41,YES
FEDERALBNK,2026-04-10,291.7,327.4,12.24,YES
RBLBANK,2026-04-10,322.15,361.1,12.09,YES
GANESHBE,2026-04-10,92.23,103.32,12.02,YES
INGERRAND,2026-04-10,3888.2,4343.0,11.7,YES
KOTHARIPET,2026-04-09,118.3,131.95,11.54,YES
STCINDIA,2026-04-10,113.34,126.33,11.46,YES
GULPOLY,2026-04-09,172.14,191.78,11.41,YES
EIMCOELECO,2026-04-08,1658.64,1845.5,11.27,YES
BALKRISHNA,2026-04-09,16.71,18.59,11.25,YES
AMDIND,2026-04-08,42.67,47.47,11.25,YES
ENGINERSIN,2026-04-10,213.75,237.49,11.11,YES
ITDC,2026-04-09,529.35,587.95,11.07,YES
GRAVITA,2026-04-10,1558.4,1724.4,10.65,YES
MODIRUBBER,2026-04-08,119.9,132.62,10.61,YES
LIKHITHA,2026-04-09,237.43,262.3,10.47,YES
RAJSREESUG,2026-04-09,28.34,31.28,10.37,YES
NOCIL,2026-04-10,167.65,184.24,9.9,YES
CLSEL,2026-04-08,265.15,291.1,9.79,YES
HDFCAMC,2026-04-10,2563.24,2800.2,9.24,YES
MPSLTD,2026-04-08,1736.2,1896.1,9.21,YES
SUPREMEINF,2026-04-10,76.71,83.75,9.18,YES
RATNAMANI,2026-04-08,2303.4,2512.5,9.08,YES
ACE,2026-04-10,909.35,989.9,8.86,YES
OLAELEC,2026-04-10,40.88,44.48,8.81,YES
TIIL,2026-04-08,2308.33,2509.8,8.73,YES
PAYTM,2026-04-10,1123.85,1221.4,8.68,YES
ENDURANCE,2026-04-10,2433.0,2640.8,8.54,YES
TIINDIA,2026-04-10,2744.8,2975.8,8.42,YES
KTKBANK,2026-04-10,242.97,263.4,8.41,YES
GAEL,2026-04-10,151.83,164.52,8.36,YES
GATEWAY,2026-04-10,57.13,61.86,8.28,YES
SHREDIGCEM,2026-04-10,70.84,76.53,8.03,YES
AUBANK,2026-04-10,981.8,1058.4,7.8,YES
HAL,2026-04-10,4112.2,4428.9,7.7,YES
LANDMARK,2026-04-09,417.9,449.4,7.54,YES
KAJARIACER,2026-04-10,1120.7,1202.3,7.28,YES
HARRMALAYA,2026-04-10,189.49,203.13,7.2,YES
SURANAT&P,2026-04-08,18.73,20.06,7.1,YES
JISLDVREQS,2026-04-09,23.39,24.97,6.76,YES
EDELWEISS,2026-04-10,116.57,124.33,6.66,YES
MANGLMCEM,2026-04-09,868.65,926.4,6.65,YES
JAYAGROGN,2026-04-08,192.07,204.77,6.61,YES
CUMMINSIND,2026-04-10,5138.7,5478.0,6.6,YES
