Stock,Pick_Date,Price_At_Pick,Evaluation_Date,Price_At_Evaluation,Forward_Return_%,Pct_Above_50MA_At_Pick,Volume_Surge_Ratio,Avg_Daily_Turnover_Cr,Liquidity_Tier,ATR_14,Stop_Loss_Price,Stop_Loss_%,Suggested_Shares,Capital_Allocated_Rs,Scan_Date
APOLLOTYRE,2026-01-16,508.55,2026-07-03,448.5,-11.81,-1.3,1.49,42.6,Strong,13.48,481.6,5.3,185,94081.75,2026-01-16
MTARTECH,2026-01-20,2516.0,2026-07-03,7033.5,179.55,0.8,2.83,149.76,Strong,110.47,2295.06,8.78,22,55352.0,2026-01-20
NETWEB,2026-01-20,3234.8,2026-07-03,4427.4,36.87,-0.6,1.78,492.12,Strong,177.29,2880.21,10.96,14,45287.2,2026-01-20
CUMMINSIND,2026-01-20,4020.9,2026-07-03,5478.0,36.24,-7.5,1.36,278.21,Strong,106.09,3808.73,5.28,23,92480.7,2026-01-20
FEDERALBNK,2026-01-20,273.25,2026-07-03,327.4,19.82,6.3,1.98,331.68,Strong,7.86,257.54,5.75,318,86893.5,2026-01-20
UJJIVANSFB,2026-01-20,57.89,2026-07-03,59.6,2.95,5.8,1.7,82.23,Strong,2.22,53.45,7.66,1126,65184.14,2026-01-20
CEATLTD,2026-01-20,3711.6,2026-07-03,3799.4,2.37,-3.7,1.85,54.75,Strong,120.88,3469.84,6.51,20,74232.0,2026-01-20
360ONE,2026-01-20,1129.6,2026-07-03,1109.5,-1.78,-1.3,2.48,134.19,Strong,41.35,1046.9,7.32,60,67776.0,2026-01-20
LTM,2026-01-20,5976.5,2026-07-03,3757.8,-37.12,-1.7,1.53,182.97,Strong,152.64,5671.21,5.11,16,95624.0,2026-01-20
LAURUSLABS,2026-01-23,1016.4,2026-07-03,1542.3,51.74,-2.3,1.73,212.73,Strong,37.15,942.1,7.31,67,68098.8,2026-01-23
LTF,2026-01-23,288.0,2026-07-03,327.0,13.54,-4.6,1.57,254.62,Strong,11.59,264.83,8.05,215,61920.0,2026-01-23
MANAPPURAM,2026-01-23,294.75,2026-07-03,328.2,11.35,0.5,1.34,183.74,Strong,12.11,270.52,8.22,206,60718.5,2026-01-23
AUBANK,2026-01-23,966.1,2026-07-03,1058.4,9.55,-0.6,1.43,254.94,Strong,28.71,908.67,5.94,87,84050.7,2026-01-23
CEATLTD,2026-01-23,3718.2,2026-07-03,3799.4,2.18,-2.9,1.91,65.4,Strong,137.41,3443.39,7.39,18,66927.6,2026-01-23
PNB,2026-01-23,120.15,2026-07-03,105.35,-12.32,-2.0,1.83,273.42,Strong,3.65,112.84,6.08,684,82182.6,2026-01-23
PERSISTENT,2026-01-23,6155.0,2026-07-03,4682.7,-23.92,-2.6,1.48,288.92,Strong,186.46,5782.07,6.06,13,80015.0,2026-01-23
LTM,2026-01-23,5893.5,2026-07-03,3757.8,-36.24,-3.2,1.82,208.71,Strong,172.61,5548.29,5.86,14,82509.0,2026-01-23
RBLBANK,2026-01-27,295.35,2026-07-03,361.1,22.26,-3.8,1.77,227.01,Strong,10.88,273.59,7.37,229,67635.15,2026-01-27
LTF,2026-01-27,285.25,2026-07-03,327.0,14.64,-5.5,1.54,257.66,Strong,11.4,262.44,8.0,219,62469.75,2026-01-27
AUBANK,2026-01-27,963.55,2026-07-03,1058.4,9.84,-1.0,1.45,258.7,Strong,29.85,903.86,6.2,83,79974.65,2026-01-27
CEATLTD,2026-01-27,3699.6,2026-07-03,3799.4,2.7,-3.3,1.89,65.97,Strong,136.91,3425.77,7.4,18,66592.8,2026-01-27
MRPL,2026-01-27,156.35,2026-07-03,150.19,-3.94,1.7,3.1,198.19,Strong,8.09,140.17,10.35,309,48312.15,2026-01-27
BRITANNIA,2026-01-27,5886.0,2026-07-03,5379.0,-8.61,-0.9,1.46,204.71,Strong,118.93,5648.14,4.04,21,123606.0,2026-01-27
PNB,2026-01-27,122.95,2026-07-03,105.35,-14.31,0.2,1.82,268.24,Strong,3.79,115.36,6.17,658,80901.1,2026-01-27
PERSISTENT,2026-01-27,6216.0,2026-07-03,4682.7,-24.67,-1.7,1.53,296.42,Strong,190.89,5834.21,6.14,13,80808.0,2026-01-27
LTM,2026-01-27,5940.5,2026-07-03,3757.8,-36.74,-2.4,1.76,211.95,Strong,175.54,5589.43,5.91,14,83167.0,2026-01-27
STARHEALTH,2026-01-30,469.25,2026-07-03,580.3,23.67,2.1,1.63,38.59,Strong,12.77,443.71,5.44,195,91503.75,2026-01-30
GESHIP,2026-01-30,1202.4,2026-07-03,1440.4,19.79,8.5,2.08,52.75,Strong,34.99,1132.43,5.82,71,85370.4,2026-01-30
LTF,2026-01-30,286.35,2026-07-03,327.0,14.2,-4.9,1.41,211.3,Strong,11.04,264.28,7.71,226,64715.1,2026-01-30
FEDERALBNK,2026-01-30,287.75,2026-07-03,327.4,13.78,9.3,2.51,362.1,Strong,8.71,270.32,6.06,286,82296.5,2026-01-30
AUBANK,2026-01-30,982.35,2026-07-03,1058.4,7.74,0.5,1.55,240.88,Strong,31.8,918.75,6.47,78,76623.3,2026-01-30
LT,2026-01-30,3932.3,2026-07-03,4026.6,2.4,-1.7,1.55,763.61,Strong,79.82,3772.66,4.06,31,121901.3,2026-01-30
CARTRADE,2026-01-30,2649.3,2026-07-03,2699.6,1.9,-5.2,2.39,103.79,Strong,139.24,2370.83,10.51,17,45038.1,2026-01-30
CEATLTD,2026-01-30,3761.8,2026-07-03,3799.4,1.0,-1.3,1.98,62.56,Strong,130.31,3501.19,6.93,19,71474.2,2026-01-30
FEDFINA,2026-01-30,152.52,2026-07-03,152.97,0.3,1.7,1.85,37.59,Strong,9.59,133.34,12.58,260,39655.2,2026-01-30
TVSMOTOR,2026-01-30,3677.4,2026-07-03,3627.4,-1.36,0.7,1.61,277.4,Strong,101.9,3473.6,5.54,24,88257.6,2026-01-30
