Stock,Pick_Date,Price_At_Pick,Evaluation_Date,Price_At_Evaluation,Forward_Return_%,Pct_Above_50MA_At_Pick,Volume_Surge_Ratio,Avg_Daily_Turnover_Cr,Liquidity_Tier,ATR_14,Stop_Loss_Price,Stop_Loss_%,Suggested_Shares,Capital_Allocated_Rs,Scan_Date
ESCORTS,2026-02-06,3763.7,2026-07-03,2964.9,-21.22,2.1,1.89,42.46,Strong,137.86,3487.97,7.33,18,67746.6,2026-02-06
IDBI,2026-02-06,106.86,2026-07-03,83.84,-21.54,5.7,1.52,182.69,Strong,5.09,96.68,9.52,491,52468.26,2026-02-06
SAILIFE,2026-02-10,917.6,2026-07-03,1257.3,37.02,4.0,3.49,58.85,Strong,40.61,836.39,8.85,61,55973.6,2026-02-10
NAM-INDIA,2026-02-10,910.9,2026-07-03,1218.2,33.74,4.8,1.59,82.79,Strong,39.93,831.04,8.77,62,56475.8,2026-02-10
PGIL,2026-02-10,1614.3,2026-07-03,2016.3,24.9,1.5,2.42,25.87,Strong,109.84,1394.61,13.61,22,35514.6,2026-02-10
NAVINFLUOR,2026-02-10,6338.0,2026-07-03,7552.5,19.16,6.4,2.41,170.56,Strong,281.61,5774.79,8.89,8,50704.0,2026-02-10
ABCAPITAL,2026-02-10,353.75,2026-07-03,401.25,13.43,0.4,1.54,187.26,Strong,13.47,326.81,7.61,185,65443.75,2026-02-10
MARICO,2026-02-10,764.85,2026-07-03,838.55,9.64,2.9,1.56,150.43,Strong,16.05,732.76,4.2,155,118551.75,2026-02-10
GRASIM,2026-02-10,2953.9,2026-07-03,3180.9,7.68,5.3,1.34,202.47,Strong,65.36,2823.17,4.43,38,112248.2,2026-02-10
TITAN,2026-02-10,4269.1,2026-07-03,4461.1,4.5,6.2,1.34,379.57,Strong,102.62,4063.86,4.81,24,102458.4,2026-02-10
NMDC,2026-02-10,85.07,2026-07-03,85.4,0.39,5.8,1.76,249.0,Strong,3.09,78.88,7.27,808,68736.56,2026-02-10
LT,2026-02-10,4169.0,2026-07-03,4026.6,-3.42,4.2,1.59,862.47,Strong,85.59,3997.81,4.11,29,120901.0,2026-02-10
TVSMOTOR,2026-02-10,3762.4,2026-07-03,3627.4,-3.59,2.1,1.5,299.84,Strong,106.19,3550.03,5.64,23,86535.2,2026-02-10
ALKEM,2026-02-10,5811.5,2026-07-03,5562.5,-4.28,2.6,1.45,73.2,Strong,140.14,5531.21,4.82,17,98795.5,2026-02-10
BEL,2026-02-10,437.3,2026-07-03,418.05,-4.4,6.5,2.04,951.55,Strong,15.64,406.02,7.15,159,69530.7,2026-02-10
BHARTIARTL,2026-02-10,2011.3,2026-07-03,1910.4,-5.02,-2.2,1.66,1405.8,Strong,44.28,1922.74,4.4,56,112632.8,2026-02-10
UNOMINDA,2026-02-10,1231.2,2026-07-03,1126.1,-8.54,-0.2,1.8,108.38,Strong,48.18,1134.84,7.83,51,62791.2,2026-02-10
SBILIFE,2026-02-10,2018.3,2026-07-03,1788.7,-11.38,-0.6,1.98,238.92,Strong,52.52,1913.26,5.2,47,94860.1,2026-02-10
APOLLOTYRE,2026-02-10,507.2,2026-07-03,448.5,-11.57,-0.4,1.61,50.95,Strong,16.42,474.36,6.47,152,77094.4,2026-02-10
HINDPETRO,2026-02-10,461.25,2026-07-03,399.25,-13.44,1.0,1.6,240.87,Strong,14.94,431.37,6.48,167,77028.75,2026-02-10
M&M,2026-02-10,3675.8,2026-07-03,3136.9,-14.66,1.3,1.8,933.39,Strong,108.99,3457.83,5.93,22,80867.6,2026-02-10
BPCL,2026-02-10,386.35,2026-07-03,308.15,-20.24,5.7,1.68,280.79,Strong,10.88,364.59,5.63,229,88474.15,2026-02-10
IOC,2026-02-10,178.21,2026-07-03,141.56,-20.57,8.9,1.8,248.89,Strong,4.66,168.89,5.23,536,95520.56,2026-02-10
MUTHOOTFIN,2026-02-10,3882.0,2026-07-03,3054.9,-21.31,1.6,1.77,233.17,Strong,188.89,3504.23,9.73,13,50466.0,2026-02-10
IDBI,2026-02-10,108.04,2026-07-03,83.84,-22.4,6.6,1.84,202.47,Strong,5.35,97.33,9.91,466,50346.64,2026-02-10
ESCORTS,2026-02-10,3823.6,2026-07-03,2964.9,-22.46,3.8,2.39,49.01,Strong,138.42,3546.76,7.24,18,68824.8,2026-02-10
ACUTAAS,2026-02-13,2017.6,2026-07-03,3694.8,83.13,14.5,1.54,93.38,Strong,91.13,1835.34,9.03,27,54475.2,2026-02-13
BBOX,2026-02-13,544.5,2026-07-03,994.95,82.73,3.5,2.01,23.08,Strong,27.66,489.18,10.16,90,49005.0,2026-02-13
ADANIPOWER,2026-02-13,139.9,2026-07-03,221.79,58.53,-2.2,2.0,339.08,Strong,5.88,128.14,8.4,425,59457.5,2026-02-13
BHEL,2026-02-13,255.75,2026-07-03,383.6,49.99,-6.1,1.99,438.19,Strong,9.17,237.4,7.17,272,69564.0,2026-02-13
SAILIFE,2026-02-13,914.85,2026-07-03,1257.3,37.43,3.3,3.25,65.21,Strong,42.21,830.42,9.23,59,53976.15,2026-02-13
PGIL,2026-02-13,1586.1,2026-07-03,2016.3,27.12,0.1,2.71,29.02,Strong,120.54,1345.01,15.2,20,31722.0,2026-02-13
ADANIPORTS,2026-02-13,1519.0,2026-07-03,1874.2,23.38,3.1,2.21,472.84,Strong,47.18,1424.64,6.21,52,78988.0,2026-02-13
NAVINFLUOR,2026-02-13,6304.0,2026-07-03,7552.5,19.8,5.1,2.95,198.1,Strong,284.29,5735.43,9.02,8,50432.0,2026-02-13
ABCAPITAL,2026-02-13,336.2,2026-07-03,401.25,19.35,-4.4,1.48,203.52,Strong,12.76,310.69,7.59,195,65559.0,2026-02-13
CCL,2026-02-13,994.0,2026-07-03,1173.0,18.01,3.1,1.77,25.35,Strong,41.94,910.12,8.44,59,58646.0,2026-02-13
MINDACORP,2026-02-13,598.0,2026-07-03,703.15,17.58,3.4,1.32,19.97,Strong,20.68,556.64,6.92,120,71760.0,2026-02-13
NMDC,2026-02-13,79.43,2026-07-03,85.4,7.52,-1.7,1.42,270.97,Strong,3.18,73.07,8.0,786,62431.98,2026-02-13
TITAN,2026-02-13,4179.2,2026-07-03,4461.1,6.75,3.4,1.46,445.47,Strong,109.66,3959.87,5.25,22,91942.4,2026-02-13
3MINDIA,2026-02-13,35115.0,2026-07-03,35235.0,0.34,0.3,1.9,18.5,Strong,1421.07,32272.86,8.09,1,35115.0,2026-02-13
FIEMIND,2026-02-13,2298.8,2026-07-03,2261.7,-1.61,1.1,1.72,20.07,Strong,107.84,2083.13,9.38,23,52872.4,2026-02-13
LT,2026-02-13,4173.9,2026-07-03,4026.6,-3.53,4.1,1.31,852.56,Strong,79.66,4014.59,3.82,31,129390.9,2026-02-13
BHARTIARTL,2026-02-13,2004.7,2026-07-03,1910.4,-4.7,-2.2,1.53,1479.74,Strong,42.41,1919.89,4.23,58,116272.6,2026-02-13
UNOMINDA,2026-02-13,1244.0,2026-07-03,1126.1,-9.48,1.1,1.99,124.05,Strong,44.96,1154.07,7.23,55,68420.0,2026-02-13
M&M,2026-02-13,3533.4,2026-07-03,3136.9,-11.22,-2.5,1.31,1036.24,Strong,115.88,3301.64,6.56,21,74201.4,2026-02-13
HINDPETRO,2026-02-13,450.2,2026-07-03,399.25,-11.32,-1.5,1.35,239.07,Strong,14.16,421.87,6.29,176,79235.2,2026-02-13
MUTHOOTFIN,2026-02-13,3586.1,2026-07-03,3054.9,-14.81,-6.3,2.88,367.43,Strong,211.84,3162.41,11.81,11,39447.1,2026-02-13
IOC,2026-02-13,176.77,2026-07-03,141.56,-19.92,7.4,1.91,287.84,Strong,4.75,167.27,5.37,526,92981.02,2026-02-13
BBOX,2026-02-17,531.95,2026-07-03,994.95,87.04,1.1,2.03,24.79,Strong,27.94,476.06,10.51,89,47343.55,2026-02-17
BHEL,2026-02-17,262.8,2026-07-03,383.6,45.97,-3.4,2.22,449.75,Strong,8.61,245.57,6.56,290,76212.0,2026-02-17
MINDACORP,2026-02-17,587.35,2026-07-03,703.15,19.72,1.5,1.32,19.15,Strong,20.4,546.56,6.95,122,71656.7,2026-02-17
ADANIPORTS,2026-02-17,1566.3,2026-07-03,1874.2,19.66,6.2,1.36,491.32,Strong,47.93,1470.44,6.12,52,81447.6,2026-02-17
CCL,2026-02-17,1007.9,2026-07-03,1173.0,16.38,4.3,1.94,27.25,Strong,42.55,922.8,8.44,58,58458.2,2026-02-17
NYKAA,2026-02-17,271.31,2026-07-03,310.3,14.37,6.1,2.51,250.53,Strong,9.44,252.44,6.96,264,71625.84,2026-02-17
MOTHERSON,2026-02-17,132.66,2026-07-03,146.3,10.28,11.6,1.89,249.89,Strong,4.96,122.75,7.47,504,66860.64,2026-02-17
FIEMIND,2026-02-17,2243.9,2026-07-03,2261.7,0.79,-1.3,1.72,20.21,Strong,109.31,2025.27,9.74,22,49365.8,2026-02-17
3MINDIA,2026-02-17,36030.0,2026-07-03,35235.0,-2.21,2.7,1.99,19.3,Strong,1509.64,33010.71,8.38,1,36030.0,2026-02-17
BHARTIARTL,2026-02-17,2020.3,2026-07-03,1910.4,-5.44,-1.3,1.41,1443.34,Strong,39.86,1940.57,3.95,62,125258.6,2026-02-17
LUMAXTECH,2026-02-17,1635.7,2026-07-03,1524.5,-6.8,7.5,2.31,54.62,Strong,109.1,1417.5,13.34,22,35985.4,2026-02-17
BLACKBUCK,2026-02-17,616.0,2026-07-03,549.0,-10.88,-2.0,1.36,57.56,Strong,31.11,553.79,10.1,80,49280.0,2026-02-17
MFSL,2026-02-17,1857.9,2026-07-03,1596.6,-14.06,10.2,1.4,131.58,Strong,47.76,1762.37,5.14,52,96610.8,2026-02-17
IOC,2026-02-17,175.81,2026-07-03,141.56,-19.48,6.5,1.69,278.8,Strong,4.58,166.66,5.21,546,95992.26,2026-02-17
IDBI,2026-02-17,113.74,2026-07-03,83.84,-26.29,10.8,2.27,238.53,Strong,5.67,102.4,9.97,440,50045.6,2026-02-17
SAILIFE,2026-02-20,941.4,2026-07-03,1257.3,33.56,5.6,1.34,65.52,Strong,38.54,864.33,8.19,64,60249.6,2026-02-20
SCI,2026-02-20,254.96,2026-07-03,301.75,18.35,11.7,7.93,283.06,Strong,12.53,229.9,9.83,199,50737.04,2026-02-20
MOTHERSON,2026-02-20,129.42,2026-07-03,146.3,13.04,8.0,1.89,252.52,Strong,4.96,119.49,7.67,503,65098.26,2026-02-20
DYNAMATECH,2026-02-20,9952.0,2026-07-03,10288.0,3.38,9.3,1.98,32.23,Strong,504.93,8942.14,10.15,4,39808.0,2026-02-20
EDELWEISS,2026-02-20,121.1,2026-07-03,124.33,2.67,10.0,4.96,123.02,Strong,5.89,109.31,9.73,424,51346.4,2026-02-20
CHOICEIN,2026-02-20,805.25,2026-07-03,800.05,-0.65,1.7,1.52,54.91,Strong,22.16,760.92,5.5,112,90188.0,2026-02-20
FIEMIND,2026-02-20,2282.6,2026-07-03,2261.7,-0.92,0.4,1.66,19.48,Strong,102.07,2078.46,8.94,24,54782.4,2026-02-20
3MINDIA,2026-02-20,36145.0,2026-07-03,35235.0,-2.52,2.7,1.99,19.43,Strong,1451.79,33241.43,8.03,1,36145.0,2026-02-20
JAMNAAUTO,2026-02-20,143.93,2026-07-03,138.75,-3.6,11.8,4.07,87.41,Strong,7.79,128.35,10.82,320,46057.6,2026-02-20
HEG,2026-02-20,556.45,2026-07-03,526.9,-5.31,-0.3,1.41,115.42,Strong,25.08,506.29,9.01,99,55088.55,2026-02-20
MFSL,2026-02-20,1849.3,2026-07-03,1596.6,-13.66,9.1,1.65,146.14,Strong,42.25,1764.8,4.57,59,109108.7,2026-02-20
IDBI,2026-02-20,112.83,2026-07-03,83.84,-25.69,8.8,1.33,239.65,Strong,5.73,101.36,10.16,436,49193.88,2026-02-20
RBLBANK,2026-02-24,326.0,2026-07-03,361.1,10.77,5.7,1.34,174.31,Strong,8.65,308.7,5.31,289,94214.0,2026-02-24
AUBANK,2026-02-24,1002.2,2026-07-03,1058.4,5.61,1.0,1.49,261.74,Strong,28.05,946.1,5.6,89,89195.8,2026-02-24
DYNAMATECH,2026-02-24,9924.5,2026-07-03,10288.0,3.66,8.7,1.36,32.18,Strong,487.75,8949.0,9.83,5,49622.5,2026-02-24
EDELWEISS,2026-02-24,121.71,2026-07-03,124.33,2.15,9.8,2.68,129.55,Strong,5.92,109.86,9.73,422,51361.62,2026-02-24
HEG,2026-02-24,564.75,2026-07-03,526.9,-6.7,1.0,1.44,123.92,Strong,23.8,517.15,8.43,105,59298.75,2026-02-24
EICHERMOT,2026-02-24,7929.0,2026-07-03,7339.5,-7.43,7.2,1.64,436.28,Strong,173.93,7581.14,4.39,14,111006.0,2026-02-24
LUMAXTECH,2026-02-24,1672.7,2026-07-03,1524.5,-8.86,8.6,2.24,59.64,Strong,100.09,1472.51,11.97,24,40144.8,2026-02-24
BBOX,2026-02-27,533.5,2026-07-03,994.95,86.49,1.1,1.59,32.82,Strong,27.34,478.83,10.25,91,48548.5,2026-02-27
ABCAPITAL,2026-02-27,344.45,2026-07-03,401.25,16.49,-1.7,3.43,406.45,Strong,10.26,323.93,5.96,243,83701.35,2026-02-27
LTF,2026-02-27,283.95,2026-07-03,327.0,15.16,-4.4,2.2,277.69,Strong,9.51,264.94,6.7,262,74394.9,2026-02-27
JSL,2026-02-27,776.35,2026-07-03,698.15,-10.07,-2.4,1.53,56.41,Strong,25.69,724.96,6.62,97,75305.95,2026-02-27
PNB,2026-02-27,129.44,2026-07-03,105.35,-18.61,4.0,1.35,238.72,Strong,3.14,123.16,4.85,795,102904.8,2026-02-27
ABCAPITAL,2026-03-04,321.55,2026-07-03,401.25,24.79,-3.5,3.44,402.17,Strong,10.56,300.42,6.57,236,75885.8,2026-03-03
AUBANK,2026-03-04,946.1,2026-07-03,1058.4,11.87,-4.0,2.59,364.35,Strong,32.1,881.91,6.78,77,72849.7,2026-03-03
JSL,2026-03-04,754.95,2026-07-03,698.15,-7.52,-1.5,1.73,60.45,Strong,28.76,697.44,7.62,86,64925.7,2026-03-03
PNB,2026-03-04,121.37,2026-07-03,105.35,-13.2,1.1,1.4,243.53,Strong,3.4,114.58,5.6,736,89328.32,2026-03-03
BANKBARODA,2026-03-04,299.3,2026-07-03,252.2,-15.74,5.0,1.46,307.33,Strong,7.03,285.25,4.69,355,106251.5,2026-03-03
BPCL,2026-03-06,352.75,2026-07-03,308.15,-12.64,-4.5,1.47,255.82,Strong,10.52,331.71,5.96,237,83601.75,2026-03-06
BANKBARODA,2026-03-06,295.35,2026-07-03,252.2,-14.61,-1.7,1.44,319.2,Strong,8.11,279.13,5.49,308,90967.8,2026-03-06
MAHABANK,2026-03-10,68.77,2026-07-03,88.53,28.73,3.8,1.67,182.03,Strong,3.27,62.23,9.51,764,52540.28,2026-03-10
ABCAPITAL,2026-03-10,332.5,2026-07-03,401.25,20.68,-4.5,3.14,382.73,Strong,11.36,309.77,6.84,219,72817.5,2026-03-10
EMCURE,2026-03-10,1567.8,2026-07-03,1839.1,17.3,5.5,2.86,48.0,Strong,58.51,1450.79,7.46,42,65847.6,2026-03-10
ANURAS,2026-03-10,1294.1,2026-07-03,1269.9,-1.87,0.6,1.41,41.43,Strong,45.21,1203.69,6.99,55,71175.5,2026-03-10
TVSMOTOR,2026-03-10,3785.1,2026-07-03,3627.4,-4.17,0.8,1.33,267.39,Strong,109.21,3566.67,5.77,22,83272.2,2026-03-10
ADANIPOWER,2026-03-13,146.57,2026-07-03,221.79,51.32,2.7,1.35,282.27,Strong,5.01,136.56,6.83,499,73138.43,2026-03-13
EMCURE,2026-03-13,1438.0,2026-07-03,1839.1,27.89,-3.6,2.99,49.67,Strong,63.59,1310.81,8.84,39,56082.0,2026-03-13
ANURAS,2026-03-13,1235.0,2026-07-03,1269.9,2.83,-3.8,1.54,39.83,Strong,43.45,1148.1,7.04,57,70395.0,2026-03-13
EMCURE,2026-03-17,1505.4,2026-07-03,1839.1,22.17,0.7,2.36,49.39,Strong,66.29,1372.83,8.81,37,55699.8,2026-03-17
SHRIRAMFIN,2026-03-17,1004.6,2026-07-03,1063.6,5.87,-1.9,1.59,638.33,Strong,45.19,914.23,9.0,55,55253.0,2026-03-17
ANURAS,2026-03-17,1236.1,2026-07-03,1269.9,2.73,-3.5,1.42,38.55,Strong,43.86,1148.39,7.1,57,70457.7,2026-03-17
FORCEMOT,2026-03-17,20990.0,2026-07-03,18804.0,-10.41,-3.3,1.32,281.83,Strong,1390.86,18208.29,13.25,1,20990.0,2026-03-17
NATIONALUM,2026-03-17,395.15,2026-07-03,347.6,-12.03,7.7,1.39,566.81,Strong,19.19,356.78,9.71,130,51369.5,2026-03-17
EMCURE,2026-03-20,1478.2,2026-07-03,1839.1,24.41,-1.0,2.55,50.16,Strong,68.94,1340.33,9.33,36,53215.2,2026-03-20
SHRIRAMFIN,2026-03-20,938.6,2026-07-03,1063.6,13.32,-8.1,1.91,806.99,Strong,48.81,840.97,10.4,51,47868.6,2026-03-20
JSWSTEEL,2026-03-20,1169.6,2026-07-03,1230.2,5.18,-3.3,1.31,205.96,Strong,41.51,1086.57,7.1,60,70176.0,2026-03-20
GMDCLTD,2026-03-20,575.7,2026-07-03,603.1,4.76,2.2,1.33,208.99,Strong,27.17,521.36,9.44,92,52964.4,2026-03-20
ADANIENSOL,2026-03-24,967.3,2026-07-03,1568.8,62.18,-0.5,1.37,180.02,Strong,41.95,883.4,8.67,59,57070.7,2026-03-24
SHRIPISTON,2026-03-24,2984.1,2026-07-03,4197.5,40.66,0.7,1.9,36.67,Strong,154.1,2675.9,10.33,16,47745.6,2026-03-24
GMDCLTD,2026-03-24,574.0,2026-07-03,603.1,5.07,1.8,1.59,224.1,Strong,26.26,521.48,9.15,95,54530.0,2026-03-24
ADANIENSOL,2026-03-27,956.0,2026-07-03,1568.8,64.1,-1.8,1.43,178.64,Strong,42.46,871.07,8.88,58,55448.0,2026-03-27
SHRIPISTON,2026-03-27,3033.5,2026-07-03,4197.5,38.37,2.4,2.01,33.89,Strong,156.84,2719.81,10.34,15,45502.5,2026-03-27
CUB,2026-03-27,190.27,2026-07-03,216.76,13.92,-6.8,1.91,71.48,Strong,9.75,170.77,10.25,256,48710.4,2026-03-27
GMDCLTD,2026-03-27,566.6,2026-07-03,603.1,6.44,0.4,1.7,228.49,Strong,26.29,514.01,9.28,95,53827.0,2026-03-27
GRAPHITE,2026-03-27,640.2,2026-07-03,627.8,-1.94,-0.9,1.47,127.92,Strong,32.65,574.9,10.2,76,48655.2,2026-03-27
GPIL,2026-03-27,272.1,2026-07-03,254.5,-6.47,5.5,1.41,59.19,Strong,12.13,247.84,8.92,206,56052.6,2026-03-27
MRPL,2026-03-27,177.1,2026-07-03,150.19,-15.19,-2.9,2.51,512.95,Strong,15.94,145.22,18.0,156,27627.6,2026-03-27
SHRIPISTON,2026-04-01,3025.2,2026-07-03,4197.5,38.75,1.8,2.02,34.26,Strong,152.04,2721.11,10.05,16,48403.2,2026-03-31
GRANULES,2026-04-01,628.1,2026-07-03,833.8,32.75,7.1,1.64,54.06,Strong,21.09,585.93,6.71,118,74115.8,2026-03-31
TITAN,2026-04-01,4065.5,2026-07-03,4461.1,9.73,-4.5,1.31,390.89,Strong,125.24,3815.01,6.16,19,77244.5,2026-03-31
GMDCLTD,2026-04-01,580.3,2026-07-03,603.1,3.93,0.4,1.77,232.73,Strong,26.83,526.64,9.25,93,53967.9,2026-03-31
GRAPHITE,2026-04-01,643.2,2026-07-03,627.8,-2.39,-4.5,1.65,125.91,Strong,33.08,577.05,10.28,75,48240.0,2026-03-31
HEG,2026-04-01,564.15,2026-07-03,526.9,-6.6,0.7,3.86,221.79,Strong,27.08,509.99,9.6,92,51901.8,2026-03-31
GPIL,2026-04-01,278.65,2026-07-03,254.5,-8.67,4.2,1.33,58.58,Strong,11.79,255.07,8.46,212,59073.8,2026-03-31
SHRIPISTON,2026-04-06,2964.6,2026-07-03,4197.5,41.59,-1.3,1.96,34.42,Strong,141.75,2681.1,9.56,17,50398.2,2026-04-03
GRANULES,2026-04-06,644.0,2026-07-03,833.8,29.47,5.7,1.61,55.91,Strong,21.38,601.24,6.64,116,74704.0,2026-04-03
NLCINDIA,2026-04-06,275.0,2026-07-03,313.5,14.0,7.8,1.38,78.77,Strong,12.92,249.16,9.4,193,53075.0,2026-04-03
GMDCLTD,2026-04-06,597.1,2026-07-03,603.1,1.0,3.1,1.65,231.21,Strong,26.8,543.5,8.98,93,55530.3,2026-04-03
GRAPHITE,2026-04-06,637.05,2026-07-03,627.8,-1.45,-1.3,1.7,116.28,Strong,33.2,570.65,10.42,75,47778.75,2026-04-03
HEG,2026-04-06,551.25,2026-07-03,526.9,-4.42,2.2,4.04,224.96,Strong,28.64,493.97,10.39,87,47958.75,2026-04-03
GPIL,2026-04-06,275.3,2026-07-03,254.5,-7.56,7.0,1.48,62.75,Strong,12.87,249.56,9.35,194,53408.2,2026-04-03
ADANIENSOL,2026-04-07,986.25,2026-07-03,1568.8,59.07,0.8,1.43,189.58,Strong,42.87,900.51,8.69,58,57202.5,2026-04-07
SHRIPISTON,2026-04-07,2976.4,2026-07-03,4197.5,41.03,0.1,2.06,34.48,Strong,141.61,2693.19,9.52,17,50598.8,2026-04-07
GRANULES,2026-04-07,638.8,2026-07-03,833.8,30.53,9.5,1.45,57.41,Strong,22.19,594.43,6.95,112,71545.6,2026-04-07
EMCURE,2026-04-07,1554.9,2026-07-03,1839.1,18.28,3.8,1.39,61.33,Strong,68.26,1418.37,8.78,36,55976.4,2026-04-07
JAYNECOIND,2026-04-07,78.67,2026-07-03,90.99,15.66,4.5,1.34,29.51,Strong,4.04,70.58,10.28,618,48618.06,2026-04-07
SHRIRAMFIN,2026-04-07,930.65,2026-07-03,1063.6,14.29,-7.6,1.84,1000.79,Strong,45.94,838.78,9.87,54,50255.1,2026-04-07
TITAN,2026-04-07,4230.6,2026-07-03,4461.1,5.45,2.3,1.45,424.89,Strong,133.26,3964.09,6.3,18,76150.8,2026-04-07
GMDCLTD,2026-04-07,593.1,2026-07-03,603.1,1.69,4.6,1.8,236.69,Strong,25.81,541.47,8.7,96,56937.6,2026-04-07
GRAPHITE,2026-04-07,629.8,2026-07-03,627.8,-0.32,-2.5,1.8,113.39,Strong,31.28,567.24,9.93,79,49754.2,2026-04-07
HEG,2026-04-07,544.65,2026-07-03,526.9,-3.26,1.4,4.22,225.84,Strong,27.56,489.52,10.12,90,49018.5,2026-04-07
UNIONBANK,2026-04-07,171.88,2026-07-03,163.09,-5.11,-5.2,1.4,325.24,Strong,7.59,156.69,8.84,329,56548.52,2026-04-07
JINDALSTEL,2026-04-07,1168.2,2026-07-03,1054.0,-9.78,0.1,1.31,185.21,Strong,44.84,1078.53,7.68,55,64251.0,2026-04-07
GPIL,2026-04-07,284.85,2026-07-03,254.5,-10.65,9.5,1.89,70.15,Strong,11.66,261.52,8.19,214,60957.9,2026-04-07
LAURUSLABS,2026-04-10,1098.35,2026-07-03,1542.3,40.42,8.2,1.37,204.88,Strong,36.46,1025.43,6.64,68,74687.8,2026-04-10
NAM-INDIA,2026-04-10,955.25,2026-07-03,1218.2,27.53,7.5,1.53,78.76,Strong,42.21,870.84,8.84,59,56359.75,2026-04-10
MOTHERSON,2026-04-10,122.16,2026-07-03,146.3,19.76,1.5,1.37,277.32,Strong,5.27,111.63,8.62,474,57903.84,2026-04-10
KEI,2026-04-10,4459.0,2026-07-03,5270.5,18.2,0.5,1.35,206.02,Strong,186.05,4086.9,8.34,13,57967.0,2026-04-10
EMCURE,2026-04-10,1600.5,2026-07-03,1839.1,14.91,6.7,1.52,39.31,Strong,67.47,1465.56,8.43,37,59218.5,2026-04-10
CUB,2026-04-10,192.85,2026-07-03,216.76,12.4,-4.0,1.59,81.32,Strong,9.25,174.35,9.59,270,52070.85,2026-04-10
RBLBANK,2026-04-10,322.15,2026-07-03,361.1,12.09,4.7,1.5,155.29,Strong,11.06,300.03,6.87,226,72805.9,2026-04-10
SHRIRAMFIN,2026-04-10,1027.55,2026-07-03,1063.6,3.51,1.9,1.4,997.39,Strong,52.0,923.56,10.12,48,49322.4,2026-04-10
SAIL,2026-04-10,166.02,2026-07-03,169.88,2.33,6.2,1.33,384.32,Strong,6.96,152.1,8.38,359,59601.18,2026-04-10
JSWSTEEL,2026-04-10,1214.8,2026-07-03,1230.2,1.27,0.8,1.45,257.41,Strong,38.99,1136.83,6.42,64,77747.2,2026-04-10
BAJAJ-AUTO,2026-04-10,9813.5,2026-07-03,9785.5,-0.29,3.7,1.35,367.41,Strong,299.64,9214.21,6.11,8,78508.0,2026-04-10
EICHERMOT,2026-04-10,7424.0,2026-07-03,7339.5,-1.14,1.4,1.31,509.2,Strong,252.61,6918.79,6.81,9,66816.0,2026-04-10
GRAPHITE,2026-04-10,638.75,2026-07-03,627.8,-1.71,-1.3,1.81,112.81,Strong,31.76,575.22,9.95,78,49822.5,2026-04-10
ASHOKLEY,2026-04-10,178.02,2026-07-03,164.35,-7.68,-5.6,2.22,565.02,Strong,8.79,160.45,9.87,284,50557.68,2026-04-10
GPIL,2026-04-10,289.55,2026-07-03,254.5,-12.1,10.3,1.85,77.21,Strong,11.95,265.64,8.26,209,60515.95,2026-04-10
JINDALSTEL,2026-04-10,1219.2,2026-07-03,1054.0,-13.55,3.6,1.34,191.22,Strong,45.37,1128.46,7.44,55,67056.0,2026-04-10
UNIONBANK,2026-04-10,189.03,2026-07-03,163.09,-13.72,3.8,1.46,320.92,Strong,8.51,172.02,9.0,293,55385.79,2026-04-10
FORCEMOT,2026-04-10,22617.0,2026-07-03,18804.0,-16.86,3.1,1.3,263.42,Strong,1248.21,20120.57,11.04,2,45234.0,2026-04-10
LAURUSLABS,2026-04-15,1117.6,2026-07-03,1542.3,38.0,7.0,1.45,202.44,Strong,34.94,1047.72,6.25,71,79349.6,2026-04-14
MOTHERSON,2026-04-15,123.55,2026-07-03,146.3,18.41,-1.2,1.45,288.43,Strong,5.14,113.26,8.33,485,59921.75,2026-04-14
TORNTPHARM,2026-04-15,4159.3,2026-07-03,4768.3,14.64,-0.4,1.34,175.97,Strong,122.15,3915.0,5.87,20,83186.0,2026-04-14
RBLBANK,2026-04-15,319.7,2026-07-03,361.1,12.95,2.6,1.48,153.92,Strong,11.05,297.59,6.91,226,72252.2,2026-04-14
EMCURE,2026-04-15,1646.8,2026-07-03,1839.1,11.68,8.5,1.35,39.44,Strong,69.46,1507.89,8.44,35,57638.0,2026-04-14
JSWSTEEL,2026-04-15,1218.6,2026-07-03,1230.2,0.95,-0.0,1.46,253.0,Strong,36.98,1144.64,6.07,67,81646.2,2026-04-14
BANKINDIA,2026-04-15,147.7,2026-07-03,144.05,-2.47,-8.2,1.35,164.42,Strong,6.76,134.19,9.15,369,54501.3,2026-04-14
GRAPHITE,2026-04-15,666.35,2026-07-03,627.8,-5.79,-1.5,1.83,111.27,Strong,32.36,601.63,9.71,77,51308.95,2026-04-14
ASHOKLEY,2026-04-15,175.48,2026-07-03,164.35,-6.34,-8.6,2.3,557.49,Strong,8.57,158.35,9.76,291,51064.68,2026-04-14
HEG,2026-04-15,590.75,2026-07-03,526.9,-10.81,5.1,4.4,232.03,Strong,28.49,533.76,9.65,87,51395.25,2026-04-14
UNIONBANK,2026-04-15,188.71,2026-07-03,163.09,-13.58,1.3,1.46,326.84,Strong,8.73,171.25,9.25,286,53971.06,2026-04-14
JINDALSTEL,2026-04-15,1221.3,2026-07-03,1054.0,-13.7,3.3,1.34,191.5,Strong,45.11,1131.09,7.39,55,67171.5,2026-04-14
FORCEMOT,2026-04-15,22377.0,2026-07-03,18804.0,-15.97,0.3,1.39,265.21,Strong,1251.07,19874.86,11.18,1,22377.0,2026-04-14
