Stock,Reason
CHAMBLFERT,MA alignment failed (50>150>200)
CHENNPETRO,No confirmed retest yet
CHOICEIN,MA alignment failed (50>150>200)
CHOLAFIN,MA alignment failed (50>150>200)
CHOLAHLDNG,Not above 150MA/200MA
CIEINDIA,Not enough distance above 52-week low
CIPLA,MA alignment failed (50>150>200)
CLEAN,Not above 150MA/200MA
CMSINFO,Not above 150MA/200MA
COALINDIA,Not above 150MA/200MA
COCHINSHIP,Not above 150MA/200MA
COFORGE,Not above 150MA/200MA
COHANCE,Not above 150MA/200MA
COLPAL,Not above 150MA/200MA
CONCOR,Not above 150MA/200MA
CONCORDBIO,Not above 150MA/200MA
COROMANDEL,Not above 150MA/200MA
CORONA,Insufficient history (139 rows)
CPPLUS,Insufficient history (229 rows)
CRAFTSMAN,No fresh 50MA crossover in last 10 days
CRAMC,Insufficient history (180 rows)
CREDITACC,MA alignment failed (50>150>200)
CRISIL,Not above 150MA/200MA
CRIZAC,Insufficient history (248 rows)
CROMPTON,MA alignment failed (50>150>200)
CSBBANK,Not above 150MA/200MA
CUB,MA alignment failed (50>150>200)
CUMMINSIND,No confirmed retest yet
CUPID,Too extended above 50MA (49.2%)
CYIENT,Not above 150MA/200MA
DABUR,Not above 150MA/200MA
DALBHARAT,Not above 150MA/200MA
DATAMATICS,MA alignment failed (50>150>200)
DATAPATTNS,No fresh 50MA crossover in last 10 days
DBL,Not above 150MA/200MA
DBREALTY,Not above 150MA/200MA
DCBBANK,No fresh 50MA crossover in last 10 days
DCMSHRIRAM,Not above 150MA/200MA
DEEPAKFERT,MA alignment failed (50>150>200)
DEEPAKNTR,Not above 150MA/200MA
DELHIVERY,MA alignment failed (50>150>200)
DEVYANI,Not above 150MA/200MA
DIACABS,Too extended above 50MA (16.0%)
DIVISLAB,Not enough distance above 52-week low
DIXON,MA alignment failed (50>150>200)
DLF,Not above 150MA/200MA
DMART,Not above 150MA/200MA
DOMS,Not above 150MA/200MA
DRREDDY,Not enough distance above 52-week low
DYNAMATECH,No confirmed retest yet
ECLERX,Not above 150MA/200MA
EDELWEISS,MA alignment failed (50>150>200)
EICHERMOT,MA alignment failed (50>150>200)
EIDPARRY,Not above 150MA/200MA
EIEL,MA alignment failed (50>150>200)
EIHOTEL,Not above 150MA/200MA
ELECON,MA alignment failed (50>150>200)
ELECTCAST,Not above 150MA/200MA
ELGIEQUIP,No fresh 50MA crossover in last 10 days
ELLEN,Insufficient history (253 rows)
EMAMILTD,Not above 150MA/200MA
EMBDL,Not above 150MA/200MA
EMCURE,No fresh 50MA crossover in last 10 days
EMIL,MA alignment failed (50>150>200)
EMMVEE,Insufficient history (159 rows)
ENDURANCE,MA alignment failed (50>150>200)
ENGINERSIN,No confirmed retest yet
ENRIN,MA alignment failed (50>150>200)
ENTERO,200MA not trending up
EPL,Too extended above 50MA (9.3%)
EQUITASBNK,Too extended above 50MA (9.1%)
ERIS,Not above 150MA/200MA
ESCORTS,Not above 150MA/200MA
ETERNAL,MA alignment failed (50>150>200)
ETHOSLTD,Not above 150MA/200MA
EUREKAFORB,Not above 150MA/200MA
EXIDEIND,MA alignment failed (50>150>200)
FACT,MA alignment failed (50>150>200)
FEDERALBNK,Too extended above 50MA (9.1%)
FEDFINA,MA alignment failed (50>150>200)
FIEMIND,Not enough distance above 52-week low
FINCABLES,No confirmed retest yet
FINPIPE,Not above 150MA/200MA
FIRSTCRY,Not above 150MA/200MA
FIVESTAR,MA alignment failed (50>150>200)
FLUOROCHEM,MA alignment failed (50>150>200)
FORCEMOT,Not above 150MA/200MA
FORTIS,MA alignment failed (50>150>200)
FSL,Not above 150MA/200MA
GABRIEL,MA alignment failed (50>150>200)
GAEL,No volume surge (0.87x)
GAIL,MA alignment failed (50>150>200)
GALLANTT,No confirmed retest yet
GESHIP,No confirmed retest yet
GHCL,Not above 150MA/200MA
GICRE,Not above 150MA/200MA
GILLETTE,Not above 150MA/200MA
GLAND,MA alignment failed (50>150>200)
GLAXO,Not above 150MA/200MA
GLENMARK,No volume surge (0.82x)
GMDCLTD,Not above 150MA/200MA
GMMPFAUDLR,Not above 150MA/200MA
GMRAIRPORT,Too extended above 50MA (12.5%)
GMRP&UI,Not above 150MA/200MA
GNFC,MA alignment failed (50>150>200)
GODFRYPHLP,Not above 150MA/200MA
GODIGIT,Not above 150MA/200MA
GODREJAGRO,Not above 150MA/200MA
GODREJCP,Not above 150MA/200MA
GODREJIND,MA alignment failed (50>150>200)
GODREJPROP,MA alignment failed (50>150>200)
GOKEX,MA alignment failed (50>150>200)
GOKULAGRO,No confirmed retest yet
GPIL,Not above 150MA/200MA
GPPL,Not above 150MA/200MA
GRANULES,Too extended above 50MA (12.8%)
GRAPHITE,Not above 150MA/200MA
GRASIM,No fresh 50MA crossover in last 10 days
GRAVITA,MA alignment failed (50>150>200)
GREAVESCOT,MA alignment failed (50>150>200)
GROWW,Insufficient history (163 rows)
GRSE,MA alignment failed (50>150>200)
GRWRHITECH,Too extended above 50MA (18.7%)
GSFC,Not above 150MA/200MA
GVT&D,No confirmed retest yet
HAL,MA alignment failed (50>150>200)
HAPPSTMNDS,Not above 150MA/200MA
HAVELLS,Not above 150MA/200MA
HBLENGINE,Not above 150MA/200MA
HCC,MA alignment failed (50>150>200)
HCG,MA alignment failed (50>150>200)
HCLTECH,Not above 150MA/200MA
HDBFS,Insufficient history (253 rows)
HDFCAMC,MA alignment failed (50>150>200)
HDFCBANK,Not above 150MA/200MA
HDFCLIFE,Not above 150MA/200MA
HEG,Not above 150MA/200MA
HEMIPROP,Not above 150MA/200MA
HERITGFOOD,Not above 150MA/200MA
HEROMOTOCO,Not above 150MA/200MA
HEXT,Not above 150MA/200MA
HFCL,Too extended above 50MA (30.4%)
HGINFRA,Not above 150MA/200MA
HINDALCO,No confirmed retest yet
HINDCOPPER,Not above 150MA/200MA
HINDPETRO,Not above 150MA/200MA
HINDUNILVR,Not above 150MA/200MA
HINDZINC,Not above 150MA/200MA
HOMEFIRST,MA alignment failed (50>150>200)
HONASA,Too extended above 50MA (17.2%)
HONAUT,MA alignment failed (50>150>200)
HSCL,No fresh 50MA crossover in last 10 days
HUDCO,MA alignment failed (50>150>200)
HYUNDAI,Not above 150MA/200MA
ICICIAMC,Insufficient history (136 rows)
ICICIBANK,MA alignment failed (50>150>200)
ICICIGI,Not above 150MA/200MA
ICICIPRULI,Not above 150MA/200MA
ICIL,Too extended above 50MA (25.1%)
IDBI,Not above 150MA/200MA
IDEA,No fresh 50MA crossover in last 10 days
IDFCFIRSTB,MA alignment failed (50>150>200)
IEX,Not above 150MA/200MA
IFBIND,Not above 150MA/200MA
IFCI,No fresh 50MA crossover in last 10 days
IGIL,MA alignment failed (50>150>200)
IGL,Not above 150MA/200MA
IIFL,MA alignment failed (50>150>200)
IIFLCAPS,No confirmed retest yet
IKS,Too extended above 50MA (12.4%)
IMFA,No confirmed retest yet
INDGN,Not above 150MA/200MA
INDHOTEL,MA alignment failed (50>150>200)
INDIACEM,Not above 150MA/200MA
INDIAGLYCO,MA alignment failed (50>150>200)
INDIAMART,Not above 150MA/200MA
INDIANB,Not above 150MA/200MA
INDIASHLTR,Not above 150MA/200MA
INDIGO,MA alignment failed (50>150>200)
INDIGOPNTS,MA alignment failed (50>150>200)
INDUSINDBK,Too extended above 50MA (11.1%)
INDUSTOWER,Not above 150MA/200MA
INFY,Not above 150MA/200MA
INOXGREEN,MA alignment failed (50>150>200)
INOXINDIA,Too extended above 50MA (9.7%)
INOXWIND,Not above 150MA/200MA
INTELLECT,Not above 150MA/200MA
IOB,Not above 150MA/200MA
IOC,Not above 150MA/200MA
IONEXCHANG,MA alignment failed (50>150>200)
IPCALAB,Too extended above 50MA (12.1%)
IRB,Not above 150MA/200MA
IRCON,Not above 150MA/200MA
IRCTC,Not above 150MA/200MA
IREDA,Not above 150MA/200MA
IRFC,Not above 150MA/200MA
ITC,Not above 150MA/200MA
ITCHOTELS,MA alignment failed (50>150>200)
ITI,Not above 150MA/200MA
IXIGO,Not above 150MA/200MA
J&KBANK,Too extended above 50MA (11.2%)
JAIBALAJI,Not above 150MA/200MA
JAINREC,Insufficient history (188 rows)
JAMNAAUTO,MA alignment failed (50>150>200)
JAYNECOIND,No confirmed retest yet
JBCHEPHARM,Too extended above 50MA (10.6%)
JBMA,MA alignment failed (50>150>200)
JINDALSAW,Too extended above 50MA (8.1%)
JINDALSTEL,Not above 150MA/200MA
JIOFIN,Not above 150MA/200MA
JKCEMENT,Not above 150MA/200MA
