Stock,Reason
THYROCARE,No fresh 50MA crossover in last 10 days
TI,Not above 150MA/200MA
TIINDIA,MA alignment failed (50>150>200)
TIMETECHNO,Not above 150MA/200MA
TIMKEN,Not above 150MA/200MA
TIPSMUSIC,No volume surge (0.81x)
TITAGARH,MA alignment failed (50>150>200)
TITAN,Too extended above 50MA (8.2%)
TMB,No fresh 50MA crossover in last 10 days
TMCV,Insufficient history (163 rows)
TMPV,Not above 150MA/200MA
TORNTPHARM,Too extended above 50MA (8.9%)
TORNTPOWER,Not above 150MA/200MA
TRANSRAILL,Not above 150MA/200MA
TRAVELFOOD,Insufficient history (245 rows)
TRENT,Not above 150MA/200MA
TRIDENT,MA alignment failed (50>150>200)
TRITURBINE,No confirmed retest yet
TRIVENI,Too extended above 50MA (15.3%)
TSFINV,MA alignment failed (50>150>200)
TTML,Not above 150MA/200MA
TVSMOTOR,MA alignment failed (50>150>200)
TVSSCS,MA alignment failed (50>150>200)
UBL,Not above 150MA/200MA
UCOBANK,Not above 150MA/200MA
UJJIVANSFB,MA alignment failed (50>150>200)
ULTRACEMCO,Not above 150MA/200MA
UNIONBANK,Not above 150MA/200MA
UNITDSPR,MA alignment failed (50>150>200)
UNOMINDA,Not above 150MA/200MA
UPL,Not above 150MA/200MA
URBANCO,Insufficient history (200 rows)
USHAMART,MA alignment failed (50>150>200)
UTIAMC,Not above 150MA/200MA
UTLSOLAR,Insufficient history (157 rows)
V2RETAIL,MA alignment failed (50>150>200)
VAIBHAVGBL,MA alignment failed (50>150>200)
VARROC,MA alignment failed (50>150>200)
VBL,No confirmed retest yet
VEDL,Not above 150MA/200MA
VGUARD,Not above 150MA/200MA
VIJAYA,No fresh 50MA crossover in last 10 days
VIKRAMSOLR,Insufficient history (215 rows)
VIPIND,Not above 150MA/200MA
VIYASH,Too extended above 50MA (12.6%)
VMART,MA alignment failed (50>150>200)
VMM,Not above 150MA/200MA
VOLTAMP,No confirmed retest yet
VOLTAS,Not above 150MA/200MA
VTL,No fresh 50MA crossover in last 10 days
WAAREEENER,Not above 150MA/200MA
WAAREERTL,MA alignment failed (50>150>200)
WABAG,MA alignment failed (50>150>200)
WAKEFIT,Insufficient history (139 rows)
WEBELSOLAR,MA alignment failed (50>150>200)
WELCORP,Too extended above 50MA (12.6%)
WELENT,MA alignment failed (50>150>200)
WELSPUNLIV,Too extended above 50MA (16.7%)
WESTLIFE,Not above 150MA/200MA
WEWORK,Insufficient history (182 rows)
WHIRLPOOL,Not above 150MA/200MA
WIPRO,Not above 150MA/200MA
WOCKPHARMA,No fresh 50MA crossover in last 10 days
YATHARTH,MA alignment failed (50>150>200)
YESBANK,MA alignment failed (50>150>200)
ZAGGLE,Not above 150MA/200MA
ZEEL,MA alignment failed (50>150>200)
ZENSARTECH,Not above 150MA/200MA
ZENTEC,Too extended above 50MA (8.8%)
ZFCVINDIA,Not above 150MA/200MA
ZYDUSLIFE,MA alignment failed (50>150>200)
ZYDUSWELL,MA alignment failed (50>150>200)
