Stock,Reason
CCAVENUE,Not above 150MA/200MA
CCL,No fresh 50MA crossover in last 15 trading days - trend too old
CDSL,Not above 150MA/200MA
CEATLTD,Not above 150MA/200MA
CELLO,Not above 150MA/200MA
CEMPRO,MA alignment failed (50>150>200)
CENTRALBK,Not above 150MA/200MA
CENTURYPLY,MA alignment failed (50>150>200)
CERA,Not above 150MA/200MA
CESC,MA alignment failed (50>150>200)
CGCL,MA alignment failed (50>150>200)
CGPOWER,MA alignment failed (50>150>200)
CHALET,Not above 150MA/200MA
CHAMBLFERT,Not above 150MA/200MA
CHENNPETRO,No fresh 50MA crossover in last 15 trading days - trend too old
CHOICEIN,Not above 150MA/200MA
CHOLAFIN,Not above 150MA/200MA
CHOLAHLDNG,Not above 150MA/200MA
CIEINDIA,Not enough distance above 52-week low
CIPLA,Not above 150MA/200MA
CLEAN,Not above 150MA/200MA
CMSINFO,Not above 150MA/200MA
COALINDIA,"No volume surge (0.88x, need >=1.3x)"
COCHINSHIP,MA alignment failed (50>150>200)
COFORGE,Not above 150MA/200MA
COHANCE,Not above 150MA/200MA
COLPAL,Not above 150MA/200MA
CONCOR,Not above 150MA/200MA
CONCORDBIO,Not above 150MA/200MA
COROMANDEL,Not above 150MA/200MA
CORONA,Insufficient history as of FROM_DATE (92 rows)
CPPLUS,Insufficient history as of FROM_DATE (182 rows)
CRAFTSMAN,"No volume surge (0.54x, need >=1.3x)"
CRAMC,Insufficient history as of FROM_DATE (133 rows)
CREDITACC,Not above 150MA/200MA
CRISIL,Not above 150MA/200MA
CRIZAC,Insufficient history as of FROM_DATE (201 rows)
CROMPTON,Not above 150MA/200MA
CSBBANK,Not above 150MA/200MA
CUB,MA alignment failed (50>150>200)
CUMMINSIND,No fresh 50MA crossover in last 15 trading days - trend too old
CUPID,"Too extended above 50MA (32.1%) - already flown, not fresh"
CYIENT,Not above 150MA/200MA
DABUR,Not above 150MA/200MA
DALBHARAT,Not above 150MA/200MA
DATAMATICS,Not above 150MA/200MA
DATAPATTNS,"Too extended above 50MA (21.8%) - already flown, not fresh"
DBL,Not above 150MA/200MA
DBREALTY,Not above 150MA/200MA
DCBBANK,No fresh 50MA crossover in last 15 trading days - trend too old
DCMSHRIRAM,MA alignment failed (50>150>200)
DEEPAKFERT,Not above 150MA/200MA
DEEPAKNTR,MA alignment failed (50>150>200)
DELHIVERY,MA alignment failed (50>150>200)
DEVYANI,Not above 150MA/200MA
DIACABS,MA alignment failed (50>150>200)
DIVISLAB,MA alignment failed (50>150>200)
DIXON,Not above 150MA/200MA
DLF,Not above 150MA/200MA
DMART,MA alignment failed (50>150>200)
DOMS,Not above 150MA/200MA
DRREDDY,MA alignment failed (50>150>200)
DYNAMATECH,No fresh 50MA crossover in last 15 trading days - trend too old
ECLERX,Not above 150MA/200MA
EDELWEISS,No fresh 50MA crossover in last 15 trading days - trend too old
EICHERMOT,Not above 150MA/200MA
EIDPARRY,Not above 150MA/200MA
EIEL,Not above 150MA/200MA
EIHOTEL,Not above 150MA/200MA
ELECON,MA alignment failed (50>150>200)
ELECTCAST,Not above 150MA/200MA
ELGIEQUIP,MA alignment failed (50>150>200)
ELLEN,Insufficient history as of FROM_DATE (206 rows)
EMAMILTD,Not above 150MA/200MA
EMBDL,Not above 150MA/200MA
EMCURE,No fresh 50MA crossover in last 15 trading days - trend too old
EMIL,MA alignment failed (50>150>200)
EMMVEE,Insufficient history as of FROM_DATE (112 rows)
ENDURANCE,Not above 150MA/200MA
ENGINERSIN,MA alignment failed (50>150>200)
ENRIN,Insufficient history as of FROM_DATE (215 rows)
ENTERO,MA alignment failed (50>150>200)
EPL,MA alignment failed (50>150>200)
EQUITASBNK,MA alignment failed (50>150>200)
ERIS,Not above 150MA/200MA
ESCORTS,Not above 150MA/200MA
ETERNAL,Not above 150MA/200MA
ETHOSLTD,Not above 150MA/200MA
EUREKAFORB,Not above 150MA/200MA
EXIDEIND,Not above 150MA/200MA
FACT,MA alignment failed (50>150>200)
FEDERALBNK,No fresh 50MA crossover in last 15 trading days - trend too old
FEDFINA,MA alignment failed (50>150>200)
FIEMIND,MA alignment failed (50>150>200)
FINCABLES,MA alignment failed (50>150>200)
FINPIPE,Not above 150MA/200MA
FIRSTCRY,Not above 150MA/200MA
FIVESTAR,Not above 150MA/200MA
FLUOROCHEM,MA alignment failed (50>150>200)
FORCEMOT,"No volume surge (0.94x, need >=1.3x)"
FORTIS,MA alignment failed (50>150>200)
FSL,Not above 150MA/200MA
GABRIEL,Not above 150MA/200MA
GAEL,No fresh 50MA crossover in last 15 trading days - trend too old
GAIL,Not above 150MA/200MA
GALLANTT,MA alignment failed (50>150>200)
GESHIP,"No volume surge (1.01x, need >=1.3x)"
GHCL,Not above 150MA/200MA
GICRE,Not enough distance above 52-week low
GILLETTE,Not above 150MA/200MA
GLAND,Not above 150MA/200MA
GLAXO,Not above 150MA/200MA
GLENMARK,MA alignment failed (50>150>200)
GMDCLTD,"Too extended above 50MA (22.4%) - already flown, not fresh"
GMMPFAUDLR,Not above 150MA/200MA
GMRAIRPORT,Not above 150MA/200MA
GMRP&UI,Not above 150MA/200MA
GNFC,Not above 150MA/200MA
GODFRYPHLP,Not above 150MA/200MA
GODIGIT,Not above 150MA/200MA
GODREJAGRO,Not above 150MA/200MA
GODREJCP,Not above 150MA/200MA
GODREJIND,Not above 150MA/200MA
GODREJPROP,Not above 150MA/200MA
GOKEX,Not above 150MA/200MA
GOKULAGRO,"Too extended above 50MA (23.9%) - already flown, not fresh"
GPIL,No fresh 50MA crossover in last 15 trading days - trend too old
GPPL,Not above 150MA/200MA
GRANULES,No fresh 50MA crossover in last 15 trading days - trend too old
GRASIM,MA alignment failed (50>150>200)
GRAVITA,Not above 150MA/200MA
GREAVESCOT,Not above 150MA/200MA
GROWW,Insufficient history as of FROM_DATE (116 rows)
GRSE,MA alignment failed (50>150>200)
GRWRHITECH,200MA not trending up
GSFC,Not above 150MA/200MA
GVT&D,No fresh 50MA crossover in last 15 trading days - trend too old
HAL,Not above 150MA/200MA
HAPPSTMNDS,Not above 150MA/200MA
HAVELLS,Not above 150MA/200MA
HBLENGINE,Not above 150MA/200MA
HCC,Not above 150MA/200MA
HCG,Not above 150MA/200MA
HCLTECH,Not above 150MA/200MA
HDBFS,Insufficient history as of FROM_DATE (206 rows)
HDFCAMC,MA alignment failed (50>150>200)
HDFCBANK,Not above 150MA/200MA
HDFCLIFE,Not above 150MA/200MA
HEG,No fresh 50MA crossover in last 15 trading days - trend too old
HEMIPROP,Not above 150MA/200MA
HERITGFOOD,Not above 150MA/200MA
HEROMOTOCO,Not above 150MA/200MA
HEXT,Not above 150MA/200MA
HFCL,MA alignment failed (50>150>200)
HGINFRA,Not above 150MA/200MA
HINDALCO,No fresh 50MA crossover in last 15 trading days - trend too old
HINDCOPPER,"No volume surge (0.31x, need >=1.3x)"
HINDPETRO,Not above 150MA/200MA
HINDUNILVR,Not above 150MA/200MA
HINDZINC,"No volume surge (1.22x, need >=1.3x)"
HOMEFIRST,Not above 150MA/200MA
HONASA,No fresh 50MA crossover in last 15 trading days - trend too old
HONAUT,Not above 150MA/200MA
HSCL,MA alignment failed (50>150>200)
HUDCO,MA alignment failed (50>150>200)
HYUNDAI,Not above 150MA/200MA
ICICIAMC,Insufficient history as of FROM_DATE (89 rows)
ICICIBANK,Not above 150MA/200MA
ICICIGI,Not above 150MA/200MA
ICICIPRULI,Not above 150MA/200MA
ICIL,MA alignment failed (50>150>200)
IDBI,Not above 150MA/200MA
IDEA,MA alignment failed (50>150>200)
IDFCFIRSTB,Not above 150MA/200MA
IEX,Not above 150MA/200MA
IFBIND,Not above 150MA/200MA
IFCI,MA alignment failed (50>150>200)
IGIL,MA alignment failed (50>150>200)
IGL,Not above 150MA/200MA
IIFL,Not above 150MA/200MA
IIFLCAPS,Not above 150MA/200MA
IKS,MA alignment failed (50>150>200)
IMFA,No fresh 50MA crossover in last 15 trading days - trend too old
INDGN,Not above 150MA/200MA
INDHOTEL,Not above 150MA/200MA
INDIACEM,Not above 150MA/200MA
INDIAGLYCO,MA alignment failed (50>150>200)
INDIAMART,Not above 150MA/200MA
INDIANB,Not above 150MA/200MA
INDIASHLTR,Not above 150MA/200MA
INDIGO,Not above 150MA/200MA
INDIGOPNTS,Not above 150MA/200MA
INDUSINDBK,"No volume surge (0.83x, need >=1.3x)"
INDUSTOWER,Not above 150MA/200MA
INFY,Not above 150MA/200MA
INOXGREEN,Not above 150MA/200MA
INOXINDIA,No fresh 50MA crossover in last 15 trading days - trend too old
INOXWIND,Not above 150MA/200MA
INTELLECT,Not above 150MA/200MA
IOB,Not above 150MA/200MA
IOC,Not above 150MA/200MA
IONEXCHANG,MA alignment failed (50>150>200)
IPCALAB,Not enough distance above 52-week low
IRB,MA alignment failed (50>150>200)
IRCON,Not above 150MA/200MA
IRCTC,Not above 150MA/200MA
IREDA,Not above 150MA/200MA
IRFC,Not above 150MA/200MA
ITC,Not above 150MA/200MA
ITCHOTELS,Not above 150MA/200MA
ITI,Not above 150MA/200MA
IXIGO,Not above 150MA/200MA
J&KBANK,No fresh 50MA crossover in last 15 trading days - trend too old
JAIBALAJI,Not above 150MA/200MA
JAINREC,Insufficient history as of FROM_DATE (141 rows)
JAMNAAUTO,"No volume surge (0.30x, need >=1.3x)"
JAYNECOIND,"Too extended above 50MA (34.0%) - already flown, not fresh"
JBCHEPHARM,"No volume surge (0.65x, need >=1.3x)"
JBMA,MA alignment failed (50>150>200)
JINDALSAW,MA alignment failed (50>150>200)
JINDALSTEL,No fresh 50MA crossover in last 15 trading days - trend too old
JIOFIN,Not above 150MA/200MA
JKCEMENT,Not above 150MA/200MA
JKLAKSHMI,Not above 150MA/200MA
JKPAPER,Not above 150MA/200MA
JKTYRE,Not above 150MA/200MA
JLHL,Not above 150MA/200MA
JMFINANCIL,Not above 150MA/200MA
JPPOWER,MA alignment failed (50>150>200)
JSFB,MA alignment failed (50>150>200)
JSL,Not above 150MA/200MA
JSLL,Not above 150MA/200MA
JSWCEMENT,Insufficient history as of FROM_DATE (175 rows)
JSWDULUX,Not above 150MA/200MA
JSWENERGY,MA alignment failed (50>150>200)
JSWINFRA,Not above 150MA/200MA
JSWSTEEL,"No volume surge (1.16x, need >=1.3x)"
JUBLFOOD,Not above 150MA/200MA
JUBLINGREA,MA alignment failed (50>150>200)
JUBLPHARMA,Not above 150MA/200MA
JUSTDIAL,Not above 150MA/200MA
JWL,Not above 150MA/200MA
JYOTHYLAB,Not above 150MA/200MA
JYOTICNC,Not above 150MA/200MA
KAJARIACER,MA alignment failed (50>150>200)
KALYANKJIL,Not above 150MA/200MA
KANSAINER,Not above 150MA/200MA
KARURVYSYA,"No volume surge (0.81x, need >=1.3x)"
KAYNES,Not above 150MA/200MA
KEC,Not above 150MA/200MA
KEI,No fresh 50MA crossover in last 15 trading days - trend too old
KFINTECH,Not above 150MA/200MA
KIMS,Not above 150MA/200MA
KIRLOSBROS,Not above 150MA/200MA
KIRLOSENG,No fresh 50MA crossover in last 15 trading days - trend too old
KIRLPNU,MA alignment failed (50>150>200)
KITEX,Not above 150MA/200MA
KNRCON,Not above 150MA/200MA
KOTAKBANK,Not above 150MA/200MA
KPIGREEN,Not above 150MA/200MA
KPIL,MA alignment failed (50>150>200)
KPITTECH,Not above 150MA/200MA
KPRMILL,Not above 150MA/200MA
KRBL,Not above 150MA/200MA
KRN,MA alignment failed (50>150>200)
KSB,MA alignment failed (50>150>200)
KSCL,Not above 150MA/200MA
KTKBANK,"Too extended above 50MA (17.7%) - already flown, not fresh"
LALPATHLAB,Not above 150MA/200MA
LATENTVIEW,Not above 150MA/200MA
LAURUSLABS,No fresh 50MA crossover in last 15 trading days - trend too old
LEMONTREE,Not above 150MA/200MA
LENSKART,Insufficient history as of FROM_DATE (118 rows)
LGEINDIA,Insufficient history as of FROM_DATE (135 rows)
LICHSGFIN,MA alignment failed (50>150>200)
LICI,Not above 150MA/200MA
LINDEINDIA,MA alignment failed (50>150>200)
LLOYDSENGG,MA alignment failed (50>150>200)
LLOYDSENT,MA alignment failed (50>150>200)
LLOYDSME,MA alignment failed (50>150>200)
LODHA,Not above 150MA/200MA
LOTUSDEV,Insufficient history as of FROM_DATE (181 rows)
LT,MA alignment failed (50>150>200)
LTF,Not above 150MA/200MA
LTFOODS,MA alignment failed (50>150>200)
LTM,Not above 150MA/200MA
LTTS,Not above 150MA/200MA
LUMAXTECH,"No volume surge (0.62x, need >=1.3x)"
LUPIN,Not enough distance above 52-week low
LXCHEM,Not above 150MA/200MA
M&M,Not above 150MA/200MA
M&MFIN,Not above 150MA/200MA
MAHABANK,No fresh 50MA crossover in last 15 trading days - trend too old
MAHSCOOTER,Not above 150MA/200MA
MAHSEAMLES,MA alignment failed (50>150>200)
MANAPPURAM,MA alignment failed (50>150>200)
MANKIND,Not above 150MA/200MA
MANORAMA,MA alignment failed (50>150>200)
MANYAVAR,Not above 150MA/200MA
MAPMYINDIA,Not above 150MA/200MA
MARICO,Not enough distance above 52-week low
MARKSANS,MA alignment failed (50>150>200)
MARUTI,Not above 150MA/200MA
MASTEK,Not above 150MA/200MA
MAXHEALTH,Not above 150MA/200MA
MAZDOCK,MA alignment failed (50>150>200)
MCX,No fresh 50MA crossover in last 15 trading days - trend too old
MEDANTA,Not above 150MA/200MA
MEDPLUS,MA alignment failed (50>150>200)
MEESHO,Insufficient history as of FROM_DATE (96 rows)
METROPOLIS,Not above 150MA/200MA
MFSL,Not above 150MA/200MA
MGL,Not above 150MA/200MA
MIDHANI,MA alignment failed (50>150>200)
MINDACORP,Not above 150MA/200MA
MMTC,MA alignment failed (50>150>200)
MOIL,Not above 150MA/200MA
MOTHERSON,"No volume surge (0.87x, need >=1.3x)"
MOTILALOFS,Not above 150MA/200MA
MPHASIS,Not above 150MA/200MA
MRF,Not above 150MA/200MA
MRPL,"No volume surge (0.56x, need >=1.3x)"
MSTCLTD,Not above 150MA/200MA
MSUMI,Not above 150MA/200MA
MTARTECH,"Too extended above 50MA (56.8%) - already flown, not fresh"
MUTHOOTFIN,Not above 150MA/200MA
NAM-INDIA,No fresh 50MA crossover in last 15 trading days - trend too old
NATCOPHARM,MA alignment failed (50>150>200)
NATIONALUM,No fresh 50MA crossover in last 15 trading days - trend too old
NAUKRI,Not above 150MA/200MA
NAVA,MA alignment failed (50>150>200)
NAZARA,Not above 150MA/200MA
NBCC,Not above 150MA/200MA
NCC,Not above 150MA/200MA
NEOGEN,MA alignment failed (50>150>200)
NESCO,Not above 150MA/200MA
NESTLEIND,Price move too large for 'quiet' accumulation (13.4% in 10 days)
NETWEB,"Too extended above 50MA (17.0%) - already flown, not fresh"
NETWORK18,Not above 150MA/200MA
NEULANDLAB,MA alignment failed (50>150>200)
NEWGEN,Not above 150MA/200MA
NFL,Not above 150MA/200MA
NH,Not above 150MA/200MA
NHPC,MA alignment failed (50>150>200)
NIACL,Not above 150MA/200MA
NIVABUPA,MA alignment failed (50>150>200)
NLCINDIA,"Too extended above 50MA (15.9%) - already flown, not fresh"
NMDC,No fresh 50MA crossover in last 15 trading days - trend too old
NSLNISP,MA alignment failed (50>150>200)
NTPC,No fresh 50MA crossover in last 15 trading days - trend too old
NTPCGREEN,MA alignment failed (50>150>200)
NUVAMA,Not above 150MA/200MA
NUVOCO,Not above 150MA/200MA
NYKAA,No fresh 50MA crossover in last 15 trading days - trend too old
OBEROIRLTY,MA alignment failed (50>150>200)
OFSS,MA alignment failed (50>150>200)
OIL,"No volume surge (0.68x, need >=1.3x)"
OLAELEC,Not above 150MA/200MA
OLECTRA,Not above 150MA/200MA
ONESOURCE,MA alignment failed (50>150>200)
ONGC,No fresh 50MA crossover in last 15 trading days - trend too old
OPTIEMUS,Not above 150MA/200MA
ORIENTCEM,Not above 150MA/200MA
ORKLAINDIA,Insufficient history as of FROM_DATE (120 rows)
OSWALPUMPS,Insufficient history as of FROM_DATE (214 rows)
PAGEIND,Not above 150MA/200MA
PARADEEP,Not above 150MA/200MA
PARAS,MA alignment failed (50>150>200)
PARKHOSPS,Insufficient history as of FROM_DATE (91 rows)
PATANJALI,Not above 150MA/200MA
