Stock,Reason
SOLARINDS,MA alignment failed (50>150>200)
SONACOMS,No fresh 50MA crossover in last 15 trading days - trend too old
SONATSOFTW,Not above 150MA/200MA
SOUTHBANK,"No volume surge (0.75x, need >=1.3x)"
SPARC,MA alignment failed (50>150>200)
SPLPETRO,MA alignment failed (50>150>200)
SRF,Not above 150MA/200MA
STAR,No fresh 50MA crossover in last 15 trading days - trend too old
STARCEMENT,Not above 150MA/200MA
STARHEALTH,No fresh 50MA crossover in last 15 trading days - trend too old
STLTECH,"Too extended above 50MA (42.8%) - already flown, not fresh"
STYL,Insufficient history as of FROM_DATE (144 rows)
STYRENIX,Not above 150MA/200MA
SUBROS,Not above 150MA/200MA
SUDARSCHEM,Not above 150MA/200MA
SUDEEPPHRM,Insufficient history as of FROM_DATE (104 rows)
SUMICHEM,Not above 150MA/200MA
SUNDARMFIN,Not above 150MA/200MA
SUNPHARMA,Not enough distance above 52-week low
SUNTECK,Not above 150MA/200MA
SUNTV,Not enough distance above 52-week low
SUPREMEIND,Not above 150MA/200MA
SUPRIYA,Not above 150MA/200MA
SURYAROSNI,Not above 150MA/200MA
SUZLON,MA alignment failed (50>150>200)
SWANCORP,Not above 150MA/200MA
SWIGGY,Not above 150MA/200MA
SWSOLAR,Not above 150MA/200MA
SYNGENE,Not above 150MA/200MA
SYRMA,No fresh 50MA crossover in last 15 trading days - trend too old
TANLA,Not above 150MA/200MA
TARC,Not above 150MA/200MA
TARIL,Not above 150MA/200MA
TATACAP,Insufficient history as of FROM_DATE (136 rows)
TATACHEM,Not above 150MA/200MA
TATACOMM,Not above 150MA/200MA
TATACONSUM,MA alignment failed (50>150>200)
TATAELXSI,Not above 150MA/200MA
TATAINVEST,Not above 150MA/200MA
TATAPOWER,MA alignment failed (50>150>200)
TATASTEEL,No fresh 50MA crossover in last 15 trading days - trend too old
TATATECH,Not above 150MA/200MA
TBOTEK,Not above 150MA/200MA
TCS,Not above 150MA/200MA
TDPOWERSYS,"Too extended above 50MA (25.8%) - already flown, not fresh"
TECHM,Not above 150MA/200MA
TECHNOE,MA alignment failed (50>150>200)
TEGA,Not above 150MA/200MA
TEJASNET,Not above 150MA/200MA
TENNIND,Insufficient history as of FROM_DATE (111 rows)
TEXRAIL,Not above 150MA/200MA
THANGAMAYL,No fresh 50MA crossover in last 15 trading days - trend too old
THELEELA,Insufficient history as of FROM_DATE (227 rows)
THERMAX,MA alignment failed (50>150>200)
THOMASCOOK,Not above 150MA/200MA
THYROCARE,Not above 150MA/200MA
TI,MA alignment failed (50>150>200)
TIINDIA,MA alignment failed (50>150>200)
TIMETECHNO,Not above 150MA/200MA
TIMKEN,No fresh 50MA crossover in last 15 trading days - trend too old
TIPSMUSIC,MA alignment failed (50>150>200)
TITAGARH,Not above 150MA/200MA
TITAN,No fresh 50MA crossover in last 15 trading days - trend too old
TMB,Price move too large for 'quiet' accumulation (11.4% in 10 days)
TMCV,Insufficient history as of FROM_DATE (116 rows)
TMPV,Not above 150MA/200MA
TORNTPHARM,"No volume surge (0.67x, need >=1.3x)"
TORNTPOWER,No fresh 50MA crossover in last 15 trading days - trend too old
TRANSRAILL,Not above 150MA/200MA
TRAVELFOOD,Insufficient history as of FROM_DATE (198 rows)
TRENT,Not above 150MA/200MA
TRIDENT,Not above 150MA/200MA
TRITURBINE,MA alignment failed (50>150>200)
TRIVENI,No fresh 50MA crossover in last 15 trading days - trend too old
TSFINV,Not above 150MA/200MA
TTML,Not above 150MA/200MA
TVSMOTOR,Not above 150MA/200MA
TVSSCS,Not above 150MA/200MA
UBL,Not above 150MA/200MA
UCOBANK,Not above 150MA/200MA
UJJIVANSFB,"No volume surge (0.76x, need >=1.3x)"
ULTRACEMCO,Not above 150MA/200MA
UNIONBANK,"No volume surge (1.28x, need >=1.3x)"
UNITDSPR,Not above 150MA/200MA
UNOMINDA,Not above 150MA/200MA
UPL,Not above 150MA/200MA
URBANCO,Insufficient history as of FROM_DATE (153 rows)
USHAMART,MA alignment failed (50>150>200)
UTIAMC,Not above 150MA/200MA
UTLSOLAR,Insufficient history as of FROM_DATE (110 rows)
V2RETAIL,Not above 150MA/200MA
VAIBHAVGBL,Not above 150MA/200MA
VARROC,Not above 150MA/200MA
VBL,MA alignment failed (50>150>200)
VEDL,Not above 150MA/200MA
VGUARD,Not above 150MA/200MA
VIJAYA,MA alignment failed (50>150>200)
VIKRAMSOLR,Insufficient history as of FROM_DATE (168 rows)
VIPIND,Not above 150MA/200MA
VIYASH,Not above 150MA/200MA
VMART,Not above 150MA/200MA
VMM,Not above 150MA/200MA
VOLTAMP,MA alignment failed (50>150>200)
VOLTAS,Not enough distance above 52-week low
VTL,No fresh 50MA crossover in last 15 trading days - trend too old
WAAREEENER,Not above 150MA/200MA
WAAREERTL,MA alignment failed (50>150>200)
WABAG,MA alignment failed (50>150>200)
WAKEFIT,Insufficient history as of FROM_DATE (92 rows)
WEBELSOLAR,MA alignment failed (50>150>200)
WELCORP,MA alignment failed (50>150>200)
WELENT,MA alignment failed (50>150>200)
WELSPUNLIV,MA alignment failed (50>150>200)
WESTLIFE,Not above 150MA/200MA
WEWORK,Insufficient history as of FROM_DATE (135 rows)
WHIRLPOOL,Not above 150MA/200MA
WIPRO,Not above 150MA/200MA
WOCKPHARMA,Not above 150MA/200MA
YATHARTH,MA alignment failed (50>150>200)
YESBANK,Not above 150MA/200MA
ZAGGLE,Not above 150MA/200MA
ZEEL,Not above 150MA/200MA
ZENSARTECH,Not above 150MA/200MA
ZENTEC,MA alignment failed (50>150>200)
ZFCVINDIA,Not enough distance above 52-week low
ZYDUSLIFE,Not above 150MA/200MA
ZYDUSWELL,Unexpected error: 'Close'
